epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.9362905621528625,,,,
0,99,,0.9040483236312866,,,,
0,149,,0.8366624116897583,,,,
0,199,,0.8953368663787842,,,,
0,249,,0.9136272668838501,,,,
0,299,,0.9121701717376709,,,,
0,340,,,,0.574881911277771,0.8670967817306519,0.8670967817306519
0,340,0.5469470024108887,,0.9404067397117615,,,
1,349,,0.884423017501831,,,,
1,399,,0.8608431220054626,,,,
1,449,,0.9060589671134949,,,,
1,499,,0.8956659436225891,,,,
1,549,,0.8810181617736816,,,,
1,599,,0.870685338973999,,,,
1,649,,0.8796053528785706,,,,
1,681,,,,0.5739783048629761,0.8661866188049316,0.8661866188049316
1,681,0.5669064521789551,,0.8745981454849243,,,
2,699,,0.8732448816299438,,,,
2,749,,0.856623113155365,,,,
2,799,,0.88761305809021,,,,
2,849,,0.8841894865036011,,,,
2,899,,0.8445145487785339,,,,
2,949,,0.8795627355575562,,,,
2,999,,0.9321831464767456,,,,
2,1022,,,,0.5742192268371582,0.8664858937263489,0.8664858937263489
2,1022,0.5694365501403809,,0.8708632588386536,,,
3,1049,,0.8542491793632507,,,,
3,1099,,0.8656136393547058,,,,
3,1149,,0.8223400115966797,,,,
3,1199,,0.8835899233818054,,,,
3,1249,,0.865336537361145,,,,
3,1299,,0.8736995458602905,,,,
3,1349,,0.8231319189071655,,,,
3,1363,,,,0.574881911277771,0.8610484600067139,0.8610484600067139
3,1363,0.5721157789230347,,0.8693123459815979,,,
4,1399,,0.9300192594528198,,,,
4,1449,,0.829687774181366,,,,
4,1499,,0.8559303283691406,,,,
4,1549,,0.839414119720459,,,,
4,1599,,0.8885237574577332,,,,
4,1649,,0.9063026905059814,,,,
4,1699,,0.8579467535018921,,,,
4,1704,,,,0.5742192268371582,0.8615038990974426,0.8615038990974426
4,1704,0.5721731781959534,,0.8681532740592957,,,
5,1749,,0.8684530258178711,,,,
5,1799,,0.8817971348762512,,,,
5,1849,,0.9181797504425049,,,,
5,1899,,0.8474328517913818,,,,
5,1949,,0.8635023832321167,,,,
5,1999,,0.8355342745780945,,,,
5,2045,,,,0.5746409296989441,0.8616144061088562,0.8616144061088562
5,2045,0.5728644728660583,,0.8673024773597717,,,
6,2049,,0.8724552392959595,,,,
6,2099,,0.8487292528152466,,,,
6,2149,,0.8827378749847412,,,,
6,2199,,0.8777611255645752,,,,
6,2249,,0.8676080703735352,,,,
6,2299,,0.8685887455940247,,,,
6,2349,,0.8458430767059326,,,,
6,2386,,,,0.574881911277771,0.8622124791145325,0.8622124791145325
6,2386,0.5726464986801147,,0.8671811819076538,,,
