epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.7686785459518433,,,,
0,99,,0.6898149251937866,,,,
0,149,,0.7312363386154175,,,,
0,199,,0.7117992639541626,,,,
0,249,,0.64703369140625,,,,
0,299,,0.6471079587936401,,,,
0,340,,,,0.7241551280021667,0.6387329697608948,0.6387329697608948
0,340,0.6802952289581299,,0.7394925951957703,,,
1,349,,0.6982465982437134,,,,
1,399,,0.6893329620361328,,,,
1,449,,0.6207317113876343,,,,
1,499,,0.6347047090530396,,,,
1,549,,0.6295071840286255,,,,
1,599,,0.6019812822341919,,,,
1,649,,0.6242977380752563,,,,
1,681,,,,0.7377176284790039,0.6047748923301697,0.6047748923301697
1,681,0.7201654314994812,,0.6434254050254822,,,
2,699,,0.5848438143730164,,,,
2,749,,0.6525675654411316,,,,
2,799,,0.6375724673271179,,,,
2,849,,0.6126514077186584,,,,
2,899,,0.5954315066337585,,,,
2,949,,0.5939130783081055,,,,
2,999,,0.6129484176635742,,,,
2,1022,,,,0.7451098561286926,0.5746824145317078,0.5746824145317078
2,1022,0.7326121926307678,,0.6142090559005737,,,
3,1049,,0.6181862354278564,,,,
3,1099,,0.6045354604721069,,,,
3,1149,,0.6176126003265381,,,,
3,1199,,0.5906643867492676,,,,
3,1249,,0.591975212097168,,,,
3,1299,,0.6025264263153076,,,,
3,1349,,0.5948015451431274,,,,
3,1363,,,,0.7580268979072571,0.5515795946121216,0.5515795946121216
3,1363,0.7402913570404053,,0.5921547412872314,,,
4,1399,,0.574550449848175,,,,
4,1449,,0.5641375780105591,,,,
4,1499,,0.5705540180206299,,,,
4,1549,,0.5658234357833862,,,,
4,1599,,0.5568279027938843,,,,
4,1649,,0.5397608280181885,,,,
4,1699,,0.5558429956436157,,,,
4,1704,,,,0.7647392749786377,0.5345896482467651,0.5345896482467651
4,1704,0.7481856346130371,,0.5760983824729919,,,
5,1749,,0.5877448916435242,,,,
