epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.8924820423126221,,,,
0,99,,0.8215821385383606,,,,
0,149,,0.8251076340675354,,,,
0,199,,0.8249929547309875,,,,
0,249,,0.8441170454025269,,,,
0,299,,0.809939980506897,,,,
0,340,,,,0.6288994550704956,0.8253765106201172,0.8253765106201172
0,340,0.6093354821205139,,0.8829084634780884,,,
1,349,,0.8429722189903259,,,,
1,399,,0.8718315362930298,,,,
1,449,,0.7869364023208618,,,,
1,499,,0.8199434280395508,,,,
1,549,,0.7828453779220581,,,,
1,599,,0.814551591873169,,,,
1,649,,0.8248686194419861,,,,
1,681,,,,0.6314122676849365,0.8182517886161804,0.8182517886161804
1,681,0.6294297575950623,,0.8239813446998596,,,
2,699,,0.8512736558914185,,,,
2,749,,0.8294360637664795,,,,
2,799,,0.8144952058792114,,,,
2,849,,0.8213465809822083,,,,
2,899,,0.7610640525817871,,,,
2,949,,0.8496172428131104,,,,
2,999,,0.8091235160827637,,,,
2,1022,,,,0.6314122676849365,0.8180622458457947,0.8180622458457947
2,1022,0.6304366588592529,,0.8208870887756348,,,
3,1049,,0.844687819480896,,,,
3,1099,,0.7914304733276367,,,,
3,1149,,0.8058686256408691,,,,
3,1199,,0.8125182390213013,,,,
3,1249,,0.8306683897972107,,,,
3,1299,,0.7791135311126709,,,,
3,1349,,0.8421808481216431,,,,
3,1363,,,,0.6317651271820068,0.8162291049957275,0.8162291049957275
3,1363,0.6306517720222473,,0.8190146684646606,,,
4,1399,,0.8425304889678955,,,,
4,1449,,0.7976531982421875,,,,
4,1499,,0.7929081320762634,,,,
4,1549,,0.818993091583252,,,,
4,1599,,0.834456741809845,,,,
4,1649,,0.7918592691421509,,,,
4,1699,,0.8252112865447998,,,,
4,1704,,,,0.6309733986854553,0.8163520693778992,0.8163520693778992
4,1704,0.6310907006263733,,0.8179147839546204,,,
5,1749,,0.8299142122268677,,,,
5,1799,,0.7767959833145142,,,,
5,1849,,0.8662583827972412,,,,
5,1899,,0.8183302879333496,,,,
5,1949,,0.7800202965736389,,,,
5,1999,,0.8092548251152039,,,,
5,2045,,,,0.6317651271820068,0.8148273229598999,0.8148273229598999
5,2045,0.6312599182128906,,0.817221462726593,,,
6,2049,,0.7873458862304688,,,,
6,2099,,0.8109827041625977,,,,
6,2149,,0.7861075401306152,,,,
6,2199,,0.8289731740951538,,,,
6,2249,,0.8472144603729248,,,,
6,2299,,0.7880561351776123,,,,
6,2349,,0.7726932764053345,,,,
6,2386,,,,0.6319630146026611,0.8149416446685791,0.8149416446685791
6,2386,0.6312283873558044,,0.8168134093284607,,,
7,2399,,0.8252637386322021,,,,
7,2449,,0.8125298023223877,,,,
7,2499,,0.8527950048446655,,,,
7,2549,,0.8145475387573242,,,,
7,2599,,0.8143942356109619,,,,
7,2649,,0.8114796280860901,,,,
7,2699,,0.8051903247833252,,,,
7,2727,,,,0.6319630146026611,0.8156048655509949,0.8156048655509949
7,2727,0.6313976049423218,,0.8163144588470459,,,
8,2749,,0.809416651725769,,,,
8,2799,,0.810066819190979,,,,
8,2849,,0.8453904390335083,,,,
8,2899,,0.8176562786102295,,,,
8,2949,,0.786813497543335,,,,
8,2999,,0.7970325350761414,,,,
8,3049,,0.7818650007247925,,,,
8,3068,,,,0.6314122676849365,0.8156298995018005,0.8156298995018005
8,3068,0.6316844820976257,,0.816270112991333,,,
