epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.8595372438430786,,,,
0,99,,0.6756877899169922,,,,
0,149,,0.6624261140823364,,,,
0,199,,0.6483900547027588,,,,
0,249,,0.6267269849777222,,,,
0,299,,0.6960153579711914,,,,
0,340,,,,0.7328640222549438,0.6174781918525696,0.6174781918525696
0,340,0.6850685477256775,,0.7316189408302307,,,
1,349,,0.645435094833374,,,,
1,399,,0.6084142923355103,,,,
1,449,,0.6047196388244629,,,,
1,499,,0.6258572340011597,,,,
1,549,,0.5731297135353088,,,,
1,599,,0.6030345559120178,,,,
1,649,,0.6081123352050781,,,,
1,681,,,,0.7498085498809814,0.5732662081718445,0.5732662081718445
1,681,0.7313901782035828,,0.6145744323730469,,,
2,699,,0.6217293739318848,,,,
2,749,,0.614396870136261,,,,
2,799,,0.6025711894035339,,,,
2,849,,0.627673327922821,,,,
2,899,,0.5868562459945679,,,,
2,949,,0.5564265251159668,,,,
2,999,,0.5886361598968506,,,,
2,1022,,,,0.7688614130020142,0.534946858882904,0.534946858882904
2,1022,0.7443475127220154,,0.5817307233810425,,,
3,1049,,0.5808772444725037,,,,
3,1099,,0.5403645038604736,,,,
3,1149,,0.546440064907074,,,,
3,1199,,0.5119632482528687,,,,
3,1249,,0.5426504611968994,,,,
3,1299,,0.543548583984375,,,,
3,1349,,0.5360064506530762,,,,
3,1363,,,,0.7827938795089722,0.5082696676254272,0.5082696676254272
3,1363,0.75914067029953,,0.551836371421814,,,
4,1399,,0.5198969841003418,,,,
4,1449,,0.5498560667037964,,,,
4,1499,,0.5367069244384766,,,,
4,1549,,0.5070488452911377,,,,
4,1599,,0.5182686448097229,,,,
4,1649,,0.5433517098426819,,,,
4,1699,,0.5205907821655273,,,,
4,1704,,,,0.7944373488426208,0.4765651524066925,0.4765651524066925
4,1704,0.7723820209503174,,0.5247867703437805,,,
5,1749,,0.5150864720344543,,,,
5,1799,,0.5125181674957275,,,,
5,1849,,0.5394402742385864,,,,
5,1899,,0.5099790096282959,,,,
5,1949,,0.4790421426296234,,,,
5,1999,,0.4624452292919159,,,,
5,2045,,,,0.8079481720924377,0.44646990299224854,0.44646990299224854
5,2045,0.7825855016708374,,0.5027104616165161,,,
6,2049,,0.5016920566558838,,,,
6,2099,,0.48697564005851746,,,,
6,2149,,0.48725903034210205,,,,
6,2199,,0.47992831468582153,,,,
6,2249,,0.49032944440841675,,,,
6,2299,,0.4793686270713806,,,,
6,2349,,0.5045344829559326,,,,
6,2386,,,,0.819144070148468,0.4297703504562378,0.4297703504562378
6,2386,0.7910305857658386,,0.4856918454170227,,,
7,2399,,0.44141197204589844,,,,
7,2449,,0.4891287386417389,,,,
7,2499,,0.4853166341781616,,,,
7,2549,,0.45946383476257324,,,,
7,2599,,0.4815976023674011,,,,
7,2649,,0.471372127532959,,,,
7,2699,,0.5184890031814575,,,,
7,2727,,,,0.8220441937446594,0.41668951511383057,0.41668951511383057
7,2727,0.7989133596420288,,0.46872422099113464,,,
8,2749,,0.4606972634792328,,,,
8,2799,,0.49920618534088135,,,,
8,2849,,0.4711315631866455,,,,
8,2899,,0.4307328760623932,,,,
8,2949,,0.4165534973144531,,,,
