epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.9478844404220581,,,,
0,99,,0.719897985458374,,,,
0,149,,0.7406101822853088,,,,
0,199,,0.6696263551712036,,,,
0,249,,0.6865339279174805,,,,
0,299,,0.6446752548217773,,,,
0,340,,,,0.7217111587524414,0.639462947845459,0.639462947845459
0,340,0.667696475982666,,0.7839551568031311,,,
1,349,,0.6668732166290283,,,,
1,399,,0.6510860323905945,,,,
1,449,,0.6149399876594543,,,,
1,499,,0.6190494298934937,,,,
1,549,,0.6187925338745117,,,,
1,599,,0.6328598856925964,,,,
1,649,,0.6518351435661316,,,,
1,681,,,,0.7479066848754883,0.5866309404373169,0.5866309404373169
1,681,0.7278733253479004,,0.6299158930778503,,,
2,699,,0.6225314736366272,,,,
2,749,,0.6101174354553223,,,,
2,799,,0.6079007983207703,,,,
2,849,,0.6097499132156372,,,,
2,899,,0.5848168134689331,,,,
2,949,,0.5965065956115723,,,,
2,999,,0.5886324644088745,,,,
2,1022,,,,0.7593693733215332,0.5564305782318115,0.5564305782318115
2,1022,0.741854727268219,,0.5928669571876526,,,
3,1049,,0.5820419788360596,,,,
3,1099,,0.5847395658493042,,,,
3,1149,,0.5736241340637207,,,,
3,1199,,0.5547032356262207,,,,
3,1249,,0.5241895914077759,,,,
3,1299,,0.5715623497962952,,,,
3,1349,,0.5663924813270569,,,,
3,1363,,,,0.7703071236610413,0.5259192585945129,0.5259192585945129
3,1363,0.7526434063911438,,0.5647956132888794,,,
4,1399,,0.5460554361343384,,,,
4,1449,,0.5616835951805115,,,,
4,1499,,0.519271969795227,,,,
4,1549,,0.5353509783744812,,,,
4,1599,,0.5173854231834412,,,,
4,1649,,0.5401488542556763,,,,
4,1699,,0.5103476047515869,,,,
4,1704,,,,0.7887834310531616,0.48880934715270996,0.48880934715270996
4,1704,0.7672271728515625,,0.5390264391899109,,,
5,1749,,0.5464831590652466,,,,
5,1799,,0.45988601446151733,,,,
5,1849,,0.5047369599342346,,,,
5,1899,,0.5128618478775024,,,,
5,1949,,0.478240430355072,,,,
5,1999,,0.46883493661880493,,,,
5,2045,,,,0.8046952486038208,0.45507723093032837,0.45507723093032837
5,2045,0.7783801555633545,,0.5132383704185486,,,
6,2049,,0.5503339767456055,,,,
6,2099,,0.49480652809143066,,,,
6,2149,,0.48210200667381287,,,,
6,2199,,0.48843228816986084,,,,
6,2249,,0.5362560153007507,,,,
6,2299,,0.49666455388069153,,,,
6,2349,,0.5029377341270447,,,,
6,2386,,,,0.8135934472084045,0.43915900588035583,0.43915900588035583
6,2386,0.7866703271865845,,0.4944588541984558,,,
7,2399,,0.4783419668674469,,,,
7,2449,,0.4537208676338196,,,,
7,2499,,0.46763429045677185,,,,
7,2549,,0.4612025320529938,,,,
7,2599,,0.47100919485092163,,,,
7,2649,,0.46066004037857056,,,,
7,2699,,0.4626123607158661,,,,
7,2727,,,,0.8192731738090515,0.4223105311393738,0.4223105311393738
7,2727,0.7955571413040161,,0.47471123933792114,,,
8,2749,,0.4901576042175293,,,,
8,2799,,0.49082303047180176,,,,
8,2849,,0.4824923276901245,,,,
8,2899,,0.43214258551597595,,,,
8,2949,,0.4850930869579315,,,,
8,2999,,0.44502854347229004,,,,
8,3049,,0.43962347507476807,,,,
8,3068,,,,0.8288598656654358,0.40165770053863525,0.40165770053863525
8,3068,0.8025994896888733,,0.46117061376571655,,,
9,3099,,0.4547668695449829,,,,
9,3149,,0.4318845868110657,,,,
9,3199,,0.4335629343986511,,,,
9,3249,,0.46799236536026,,,,
9,3299,,0.4465875029563904,,,,
9,3349,,0.46495163440704346,,,,
9,3399,,0.4193005859851837,,,,
9,3409,,,,0.8359250426292419,0.38803622126579285,0.38803622126579285
9,3409,0.808517336845398,,0.4478911757469177,,,
10,3449,,0.4363965392112732,,,,
10,3499,,0.46165889501571655,,,,
10,3549,,0.42557698488235474,,,,
10,3599,,0.43270593881607056,,,,
10,3649,,0.4383438229560852,,,,
10,3699,,0.4211880564689636,,,,
10,3749,,0.42643648386001587,,,,
10,3750,,,,0.8408991098403931,0.37691742181777954,0.37691742181777954
10,3750,0.8132189512252808,,0.4380395710468292,,,
11,3799,,0.38030725717544556,,,,
11,3849,,0.42640405893325806,,,,
11,3899,,0.4235879182815552,,,,
11,3949,,0.4422810673713684,,,,
11,3999,,0.4170878529548645,,,,
11,4049,,0.39784491062164307,,,,
11,4091,,,,0.8460022807121277,0.36651095747947693,0.36651095747947693
11,4091,0.8177885413169861,,0.4268479645252228,,,
12,4099,,0.38304710388183594,,,,
12,4149,,0.421425998210907,,,,
12,4199,,0.42226243019104004,,,,
12,4249,,0.42598599195480347,,,,
12,4299,,0.37341320514678955,,,,
12,4349,,0.3608202040195465,,,,
12,4399,,0.4187847971916199,,,,
12,4432,,,,0.8539108037948608,0.3506202697753906,0.3506202697753906
12,4432,0.8231785893440247,,0.4161122143268585,,,
13,4449,,0.41638779640197754,,,,
13,4499,,0.39524590969085693,,,,
13,4549,,0.4448195695877075,,,,
13,4599,,0.42002010345458984,,,,
13,4649,,0.39641427993774414,,,,
13,4699,,0.40421026945114136,,,,
13,4749,,0.4064890444278717,,,,
13,4773,,,,0.8551414608955383,0.3440101146697998,0.3440101146697998
13,4773,0.8254075050354004,,0.4109385907649994,,,
14,4799,,0.4015982747077942,,,,
14,4849,,0.3886260986328125,,,,
14,4899,,0.38357317447662354,,,,
14,4949,,0.4115394949913025,,,,
14,4999,,0.3988446593284607,,,,
14,5049,,0.38400211930274963,,,,
14,5099,,0.42125624418258667,,,,
14,5114,,,,0.8591688871383667,0.3371960520744324,0.3371960520744324
14,5114,0.8289386630058289,,0.40322163701057434,,,
