epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.9478844404220581,,,,
0,99,,0.719897985458374,,,,
0,149,,0.7406102418899536,,,,
0,199,,0.6696263551712036,,,,
0,249,,0.6865339279174805,,,,
0,299,,0.6446752548217773,,,,
0,340,,,,0.7217111587524414,0.6394628882408142,0.6394628882408142
0,340,0.667696475982666,,0.7839551568031311,,,
1,349,,0.6668732166290283,,,,
1,399,,0.6510860323905945,,,,
1,449,,0.6149400472640991,,,,
1,499,,0.6190493702888489,,,,
1,549,,0.6187925338745117,,,,
1,599,,0.6328598856925964,,,,
1,649,,0.6518350839614868,,,,
1,681,,,,0.7479066848754883,0.5866309404373169,0.5866309404373169
1,681,0.7278733253479004,,0.6299158930778503,,,
2,699,,0.6225318312644958,,,,
2,749,,0.6101173758506775,,,,
2,799,,0.6079007387161255,,,,
2,849,,0.6097492575645447,,,,
2,899,,0.5848320722579956,,,,
2,949,,0.5965231657028198,,,,
2,999,,0.5886965990066528,,,,
2,1022,,,,0.7593865990638733,0.5563924312591553,0.5563924312591553
2,1022,0.7418718934059143,,0.5928665995597839,,,
3,1049,,0.5821608901023865,,,,
3,1099,,0.5847612619400024,,,,
3,1149,,0.5736987590789795,,,,
3,1199,,0.5545034408569336,,,,
3,1249,,0.5240671038627625,,,,
3,1299,,0.571710467338562,,,,
3,1349,,0.5665270686149597,,,,
3,1363,,,,0.7702898979187012,0.525911271572113,0.525911271572113
3,1363,0.7526060938835144,,0.5648241639137268,,,
4,1399,,0.5456128120422363,,,,
4,1449,,0.5615112781524658,,,,
