epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.9478844404220581,,,,
0,99,,0.7198979258537292,,,,
0,149,,0.7406102418899536,,,,
0,199,,0.6696263551712036,,,,
0,249,,0.6865339279174805,,,,
0,299,,0.6446752548217773,,,,
0,340,,,,0.7217111587524414,0.6394628882408142,0.6394628882408142
0,340,0.667696475982666,,0.7839552164077759,,,
1,349,,0.6668732166290283,,,,
1,399,,0.6510860323905945,,,,
1,449,,0.6149399280548096,,,,
1,499,,0.6190494298934937,,,,
1,549,,0.6187925934791565,,,,
1,599,,0.6328598856925964,,,,
1,649,,0.6518351435661316,,,,
1,681,,,,0.7479066848754883,0.5866309404373169,0.5866309404373169
1,681,0.7278733253479004,,0.6299158930778503,,,
2,699,,0.6225316524505615,,,,
2,749,,0.6101173162460327,,,,
2,799,,0.6079007983207703,,,,
2,849,,0.6097496151924133,,,,
2,899,,0.584823727607727,,,,
2,949,,0.5965142250061035,,,,
2,999,,0.5886456966400146,,,,
2,1022,,,,0.7593435645103455,0.5564242005348206,0.5564242005348206
2,1022,0.7418604493141174,,0.5928667187690735,,,
3,1049,,0.5820934772491455,,,,
3,1099,,0.5847805738449097,,,,
3,1149,,0.5736407041549683,,,,
3,1199,,0.5546659231185913,,,,
3,1249,,0.5241552591323853,,,,
3,1299,,0.571951687335968,,,,
3,1349,,0.5665241479873657,,,,
3,1363,,,,0.7702898979187012,0.5258711576461792,0.5258711576461792
3,1363,0.7526261806488037,,0.5648156404495239,,,
4,1399,,0.5458687543869019,,,,
4,1449,,0.5615261197090149,,,,
4,1499,,0.5183115601539612,,,,
4,1549,,0.5353095531463623,,,,
4,1599,,0.517184853553772,,,,
4,1649,,0.5399067401885986,,,,
4,1699,,0.510635256767273,,,,
4,1704,,,,0.788714587688446,0.48916783928871155,0.48916783928871155
4,1704,0.7672472596168518,,0.539025604724884,,,
5,1749,,0.5460721254348755,,,,
5,1799,,0.46020859479904175,,,,
5,1849,,0.5032563209533691,,,,
5,1899,,0.5148512721061707,,,,
5,1949,,0.47855737805366516,,,,
5,1999,,0.46972793340682983,,,,
5,2045,,,,0.8041616678237915,0.45518437027931213,0.45518437027931213
5,2045,0.7783141732215881,,0.5133376121520996,,,
6,2049,,0.5504060387611389,,,,
6,2099,,0.49458643794059753,,,,
6,2149,,0.4827708303928375,,,,
6,2199,,0.48846936225891113,,,,
6,2249,,0.5363459587097168,,,,
6,2299,,0.49523839354515076,,,,
6,2349,,0.503379762172699,,,,
6,2386,,,,0.812861979007721,0.4394570291042328,0.4394570291042328
6,2386,0.7866301536560059,,0.494678795337677,,,
7,2399,,0.4797969460487366,,,,
7,2449,,0.4524262249469757,,,,
7,2499,,0.4686465561389923,,,,
7,2549,,0.46181225776672363,,,,
7,2599,,0.47050413489341736,,,,
7,2649,,0.46171683073043823,,,,
7,2699,,0.46269485354423523,,,,
7,2727,,,,0.8194108605384827,0.4224127233028412,0.4224127233028412
7,2727,0.7955800890922546,,0.47484302520751953,,,
8,2749,,0.49133801460266113,,,,
8,2799,,0.4915871322154999,,,,
8,2849,,0.48418065905570984,,,,
8,2899,,0.4330357611179352,,,,
8,2949,,0.4848724603652954,,,,
8,2999,,0.4438135027885437,,,,
8,3049,,0.44017714262008667,,,,
8,3068,,,,0.8289631009101868,0.4021933078765869,0.4021933078765869
8,3068,0.8025335073471069,,0.46127334237098694,,,
9,3099,,0.4547922611236572,,,,
9,3149,,0.43202200531959534,,,,
9,3199,,0.43362948298454285,,,,
9,3249,,0.47143852710723877,,,,
9,3299,,0.4471711814403534,,,,
9,3349,,0.4650455713272095,,,,
9,3399,,0.4203537702560425,,,,
9,3409,,,,0.8361574411392212,0.38620835542678833,0.38620835542678833
9,3409,0.8083682060241699,,0.4478049576282501,,,
10,3449,,0.43565884232521057,,,,
10,3499,,0.4621993899345398,,,,
10,3549,,0.4281695485115051,,,,
10,3599,,0.4340564012527466,,,,
10,3649,,0.43894731998443604,,,,
10,3699,,0.4215411841869354,,,,
10,3749,,0.4218008518218994,,,,
10,3750,,,,0.8411744832992554,0.37705954909324646,0.37705954909324646
10,3750,0.8129005432128906,,0.43814027309417725,,,
11,3799,,0.3836401700973511,,,,
11,3849,,0.4278501868247986,,,,
11,3899,,0.4226554334163666,,,,
11,3949,,0.4385390877723694,,,,
11,3999,,0.41463756561279297,,,,
11,4049,,0.40076762437820435,,,,
11,4091,,,,0.8455117344856262,0.367397665977478,0.367397665977478
11,4091,0.8178114891052246,,0.42676934599876404,,,
12,4099,,0.38691434264183044,,,,
12,4149,,0.4222211539745331,,,,
12,4199,,0.4239038825035095,,,,
12,4249,,0.4254080057144165,,,,
12,4299,,0.37342017889022827,,,,
12,4349,,0.3613395690917969,,,,
12,4399,,0.41669541597366333,,,,
12,4432,,,,0.8532912135124207,0.3513154983520508,0.3513154983520508
12,4432,0.8230867981910706,,0.41618111729621887,,,
13,4449,,0.4168877601623535,,,,
13,4499,,0.3923834562301636,,,,
13,4549,,0.44179433584213257,,,,
13,4599,,0.4172654151916504,,,,
13,4649,,0.39195048809051514,,,,
13,4699,,0.40594416856765747,,,,
13,4749,,0.4084579348564148,,,,
13,4773,,,,0.8558900952339172,0.34380263090133667,0.34380263090133667
13,4773,0.825370192527771,,0.41081365942955017,,,
14,4799,,0.4074808955192566,,,,
14,4849,,0.3892905116081238,,,,
14,4899,,0.3797123432159424,,,,
14,4949,,0.40788155794143677,,,,
14,4999,,0.3987000584602356,,,,
14,5049,,0.3810541033744812,,,,
14,5099,,0.42023396492004395,,,,
14,5114,,,,0.8586611151695251,0.3381899893283844,0.3381899893283844
14,5114,0.8286604285240173,,0.4033137559890747,,,
