epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.8888906836509705,,,,
0,99,,0.8553051352500916,,,,
0,149,,0.8595624566078186,,,,
0,199,,0.8400992155075073,,,,
0,249,,0.815544843673706,,,,
0,299,,0.8299483060836792,,,,
0,340,,,,0.6238307356834412,0.8190415501594543,0.8190415501594543
0,340,0.6082253456115723,,0.8856276869773865,,,
1,349,,0.8126716613769531,,,,
1,399,,0.8231445550918579,,,,
1,449,,0.8064895868301392,,,,
1,499,,0.812128484249115,,,,
1,549,,0.7831004858016968,,,,
1,599,,0.8534443378448486,,,,
1,649,,0.8069012761116028,,,,
1,681,,,,0.6320146918296814,0.8156489729881287,0.8156489729881287
1,681,0.6287269592285156,,0.8243315815925598,,,
2,699,,0.8305840492248535,,,,
2,749,,0.7878574728965759,,,,
2,799,,0.8090817332267761,,,,
2,849,,0.8129194378852844,,,,
2,899,,0.8288252949714661,,,,
2,949,,0.8329349756240845,,,,
2,999,,0.7708065509796143,,,,
2,1022,,,,0.6317737102508545,0.8131554126739502,0.8131554126739502
2,1022,0.6298027038574219,,0.8212540745735168,,,
3,1049,,0.829556941986084,,,,
3,1099,,0.8147966265678406,,,,
3,1149,,0.8486284017562866,,,,
3,1199,,0.835807204246521,,,,
3,1249,,0.8082901239395142,,,,
3,1299,,0.8109881281852722,,,,
3,1349,,0.8161652684211731,,,,
3,1363,,,,0.6317737102508545,0.8131833672523499,0.8131833672523499
3,1363,0.6304882764816284,,0.8193159699440002,,,
4,1399,,0.8078814744949341,,,,
4,1449,,0.8656878471374512,,,,
4,1499,,0.857316255569458,,,,
4,1549,,0.8277667760848999,,,,
4,1599,,0.8184973001480103,,,,
4,1649,,0.79224693775177,,,,
4,1699,,0.7820135354995728,,,,
4,1704,,,,0.6320146918296814,0.8136892318725586,0.8136892318725586
4,1704,0.6306460499763489,,0.818979799747467,,,
5,1749,,0.7856094837188721,,,,
5,1799,,0.8177484273910522,,,,
5,1849,,0.8775607943534851,,,,
5,1899,,0.8283233046531677,,,,
5,1949,,0.7783710360527039,,,,
5,1999,,0.8322044610977173,,,,
5,2045,,,,0.6320146918296814,0.8133626580238342,0.8133626580238342
5,2045,0.6307808756828308,,0.8183673620223999,,,
