epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.7711251974105835,,,,
0,99,,0.7398757934570312,,,,
0,149,,0.7064770460128784,,,,
0,199,,0.6667380928993225,,,,
0,249,,0.6265188455581665,,,,
0,299,,0.6801635026931763,,,,
0,340,,,,0.7162465453147888,0.6558412909507751,0.6558412909507751
0,340,0.6812275052070618,,0.7392334342002869,,,
1,349,,0.7313902378082275,,,,
1,399,,0.6789500713348389,,,,
1,449,,0.6810140609741211,,,,
1,499,,0.6267777681350708,,,,
1,549,,0.6724043488502502,,,,
1,599,,0.6615781784057617,,,,
1,649,,0.6639160513877869,,,,
1,681,,,,0.7235613465309143,0.6332131028175354,0.6332131028175354
1,681,0.7120990753173828,,0.6601189970970154,,,
2,699,,0.6748884916305542,,,,
2,749,,0.6202212572097778,,,,
2,799,,0.6744092106819153,,,,
2,849,,0.6414194703102112,,,,
2,899,,0.6068475246429443,,,,
2,949,,0.630643367767334,,,,
2,999,,0.6230775117874146,,,,
2,1022,,,,0.7347744703292847,0.6080665588378906,0.6080665588378906
2,1022,0.7221419215202332,,0.6364807486534119,,,
3,1049,,0.5746314525604248,,,,
3,1099,,0.6139304637908936,,,,
3,1149,,0.6367351412773132,,,,
3,1199,,0.6192985773086548,,,,
3,1249,,0.660670280456543,,,,
3,1299,,0.6292641162872314,,,,
3,1349,,0.6106786727905273,,,,
3,1363,,,,0.7365214228630066,0.598045289516449,0.598045289516449
3,1363,0.7280540466308594,,0.6215715408325195,,,
4,1399,,0.6375384330749512,,,,
4,1449,,0.6195113658905029,,,,
4,1499,,0.5931464433670044,,,,
4,1549,,0.6585632562637329,,,,
4,1599,,0.5990556478500366,,,,
4,1649,,0.6063708066940308,,,,
4,1699,,0.6240910291671753,,,,
4,1704,,,,0.7400239109992981,0.5934895873069763,0.5934895873069763
4,1704,0.7308451533317566,,0.6142185926437378,,,
5,1749,,0.6497833728790283,,,,
5,1799,,0.6026067733764648,,,,
5,1849,,0.6242820024490356,,,,
5,1899,,0.6322855949401855,,,,
5,1949,,0.6271003484725952,,,,
5,1999,,0.6263964772224426,,,,
5,2045,,,,0.7458327412605286,0.5796998143196106,0.5796998143196106
5,2045,0.7347090840339661,,0.6060597896575928,,,
6,2049,,0.6034899353981018,,,,
6,2099,,0.6383035182952881,,,,
6,2149,,0.6469804048538208,,,,
6,2199,,0.6141960620880127,,,,
6,2249,,0.5895446538925171,,,,
6,2299,,0.5817388892173767,,,,
6,2349,,0.5755826830863953,,,,
6,2386,,,,0.7497655153274536,0.574241042137146,0.574241042137146
6,2386,0.7379218935966492,,0.5993505716323853,,,
7,2399,,0.5724754333496094,,,,
7,2449,,0.5920209884643555,,,,
7,2499,,0.5640817880630493,,,,
7,2549,,0.5814449191093445,,,,
7,2599,,0.596605658531189,,,,
7,2649,,0.5854381322860718,,,,
7,2699,,0.614029586315155,,,,
7,2727,,,,0.7494212985038757,0.5701496005058289,0.5701496005058289
7,2727,0.7389546036720276,,0.5948528051376343,,,
8,2749,,0.6096903681755066,,,,
8,2799,,0.5738781094551086,,,,
